Job_Title,Job Domain,Company,Location,Min years of exp,Language Requirement,Skills,Salary_Raw,Link,JD & Requirements,List Skills,AI_Job_Domain,AI_Min_exp,AI_Language,AI_Skills
"Analytics Engineer (Advanced SQL, Python, Data Analyst)",Data & AI,METUB Việt Nam,"Level 23, E Town Central, 11 Doan Van Bo, District 4, Ho Chi Minh, Vietnam, Sai Gon, Ho Chi Minh",3.0,,"SQL, Python, Data Engineering, Data Warehousing, GenAI / LLM, Data Visualization, Git, Data Analysis",You'll love it,https://itviec.com/it-jobs/analytics-engineer-advanced-sql-python-data-analyst-metub-viet-nam-0743?lab_feature=preview_jd_page,"Job description
 
 1. MỤC TIÊU VỊ TRÍ
 
 
 
 Xây dựng nền tảng dữ liệu sạch, có cấu trúc và hiệu suất cao để phục vụ cho việc ra quyết định kinh doanh và tích hợp vào các giải pháp AI. Vai trò này tập trung vào việc mô hình hóa dữ liệu (Data Modeling) ở tầng trung gian, đảm bảo dữ liệu thô được chuyển hóa thành các tập dữ liệu có giá trị (Analytics-ready datasets) một cách tự động, chính xác và nhất quán.
 
 
 
 2. TRÁCH NHIỆM CHÍNH
 
 
 
 Mô hình hóa Dữ liệu (Data Modeling): Thiết kế và xây dựng các bảng dữ liệu tối ưu (Dimension/Fact tables) trong Data Warehouse. Sử dụng công cụ hiện đại (như dbt) để quản lý mã nguồn dữ liệu, đảm bảo tính kế thừa và dễ bảo trì.
 
 Xây dựng & Tối ưu Pipeline Dữ liệu: Phối hợp cùng Data Engineer để chuyển hóa dữ liệu thô từ nhiều nguồn (YouTube Analytics, TikTok, Facebook, CRM...) thành các mô hình dữ liệu kinh doanh chuẩn mực. Tối ưu hóa hiệu suất truy vấn để giảm thiểu chi phí vận hành kho dữ liệu.
 
 Đảm bảo Chất lượng & Quản trị Dữ liệu: Thiết lập các quy chuẩn về Data Quality, Testing và Documentation. Xây dựng ""Single Source of Truth"" để đảm bảo các phòng ban (Creator Management, Marketing, Ops...) đều sử dụng chung một bộ chỉ số thống nhất.
 
 Hỗ trợ Hệ sinh thái AI (RAG-ready Data): Cấu trúc hóa dữ liệu phi cấu trúc và chuẩn bị các tập dữ liệu sạch để nạp vào Vector Database phục vụ cho các AI Agents. Đảm bảo tri thức dữ liệu được ""indexing"" chính xác cho các bài toán Generative AI.
 
 Phát triển Dashboard & Insights: Hỗ trợ team BA và Data Analyst xây dựng các báo cáo/dashboard phức tạp, cung cấp các lớp dữ liệu nền tảng (Base layers) để người dùng có thể tự phục vụ (Self-service analytics).
 
 Your skills and experience
 
 Thành thạo SQL & dbt: Khả năng viết SQL ở trình độ nâng cao (Advanced SQL). Thành thạo công cụ dbt (data build tool) để quản lý quy trình biến đổi dữ liệu (Transformations).
 
 Am hiểu Data Warehouse: Có kinh nghiệm làm việc với các hệ thống kho dữ liệu hiện đại (ưu tiên Google BigQuery, Snowflake hoặc AWS Redshift). Hiểu rõ các mô hình thiết kế dữ liệu (Star Schema, Snowflake Schema).
 
 Kỹ năng Lập trình & Version Control: Sử dụng tốt Python để xử lý dữ liệu và thành thạo Git/GitHub cho việc quản lý mã nguồn theo tư duy Software Engineering.
 
 Tư duy Hệ thống & Dữ liệu: Khả năng hiểu sâu sắc logic nghiệp vụ để chuyển hóa thành logic dữ liệu. Có tư duy chặt chẽ về tính đúng đắn và độ tin cậy của con số.
 
 Hiểu biết về BI Tools: Có kinh nghiệm làm việc với các công cụ trực quan hóa dữ liệu (như Google Looker Studio, Power BI hoặc Tableau).
 
 Kinh nghiệm: Có ít nhất 3 năm kinh nghiệm trong lĩnh vực Data Engineering, Data Analytics hoặc BI Developer.",API,Data & AI,3.0,None,"SQL, Data Warehousing, Python, Git, Data Visualization, Data Analysis, Vector Database"
Data Engineer,Data & AI,FPT Software,"35/2 Nguyễn Văn Hưởng, Phường An Khánh, An Khanh, Ho Chi Minh",3.0,English,"AWS, GCP, SQL, Python, Data Engineering, Data Warehousing, Big Data, Security, Data Analysis",Up to $2700,https://itviec.com/it-jobs/data-engineer-aws-gcp-up-to-2700-fpt-software-3715?lab_feature=employer_job,"Job description
 
 ABOUT FPT SOFTWARE
 
 
 
 FPT Software, a subsidiary of FPT Group, is a leading global IT service provider headquartered in Vietnam. With 33,000+ employees in 88 offices across 30 countries, we serve 1,100+ clients, including 96 Fortune 500 companies.
 
 
 
  
 
 
 
 We believe diversity fuels innovation and strive to create an inclusive workplace where talents of all backgrounds thrive. We welcome expatriates and international professionals to bring fresh perspectives and help shape the future of technology.
 
 
 
  
 
 
 
 RESPONSIBILITIES
 
 
 
 Design, develop, and maintain scalable data pipelines and data processing systems on cloud platforms (AWS or GCP) 
 
 Build and optimize ETL/ELT workflows to ingest, transform, and serve data for analytics and business use cases 
 
 Work with large-scale structured and unstructured datasets, ensuring data quality, reliability, and performance 
 
 Collaborate with Data Scientists, Analysts, and cross-functional teams to support data-driven solutions 
 
 Develop and manage data storage solutions such as Data Lakes and Data Warehouses 
 
 Implement data governance, security, and best practices in cloud environments 
 
 Monitor, troubleshoot, and optimize data pipelines and system performance 
 
 Your skills and experience
 
 3+ years of experience in Data Engineering or related roles 
 
 Hands-on experience with AWS (e.g., S3, Glue, Redshift, Lambda) or GCP (e.g., BigQuery, Dataflow, Pub/Sub) 
 
 Strong experience in SQL and at least one programming language (Python, Scala, or Java) 
 
 Experience in building and optimizing ETL/ELT pipelines 
 
 Familiarity with distributed data processing frameworks (e.g., Spark) is a plus 
 
 Understanding of data modeling, data warehousing, and data lake concepts 
 
 Good English communication skills (both written and verbal) 
 
 Strong problem-solving skills and ability to work independently as well as in a team",GCP,Data & AI,3.0,English,"AWS, GCP, SQL, Python, Scala, Java, Data Warehousing, Monitoring"
Data Scientist,Data & AI,GALAXY HOLDINGS,"20 Cong Hoa Garden, Cong Hoa, Bay Hien, Ho Chi Minh",5.0,,"Python, SQL, Machine Learning, Data Analysis, Data Visualization, Deep Learning",You'll love it,https://itviec.com/it-jobs/senior-data-scientist-python-tableau-powerbi-galaxy-holdings-3510?lab_feature=preview_jd_page,"Job description
 
 Phân tích dữ liệu chuyên sâu, xây dựng mô hình dự đoán và cung cấp insights chiến lược cho các business units trong hệ sinh thái Galaxy Holdings. Biến dữ liệu thành giá trị kinh doanh thực tế.
 
 
 
 TRÁCH NHIỆM CHÍNH
 
 
 
 Phân tích dữ liệu khách hàng cross-platform (Galaxy Pay, Galaxy Joy, Galaxy One) để xây dựng Customer 360 view
 
 Xây dựng mô hình dự đoán: Customer Churn Prediction, Customer Lifetime Value (CLV), Next Best Action
 
 Phát triển Attribution Model, Marketing Mix Model để tối ưu ROI của các chiến dịch marketing
 
 Xây dựng A/B Testing framework và Statistical Analysis cho product experiments
 
 Phân tích Transaction Data để phát hiện patterns, anomalies và cơ hội cross-sell/upsell
 
 Xây dựng Dashboard và automated reporting sử dụng BI tools (Tableau/PowerBI/Looker)
 
 Trình bày insights và recommendations cho Business Leaders, hỗ trợ data-driven decision making
 
 Collaborate với Data Engineers để define data requirements và với ML Engineers để productionize models
 
 Your skills and experience
 
 YÊU CẦU BẮT BUỘC
 
 
 
 Tối thiểu 5 năm kinh nghiệm Data Science/Analytics trong môi trường doanh nghiệp
 
 Thành thạo Python (Pandas, NumPy, Scikit-learn, StatsModels) và SQL
 
 Kiến thức vững về Statistics: Hypothesis Testing, Regression, Bayesian Methods, Causal Inference
 
 Kinh nghiệm với BI/Visualization tools: Tableau, PowerBI, Looker hoặc tương đương
 
 Kinh nghiệm xây dựng và đánh giá ML models: Classification, Regression, Clustering, Time Series
 
 Kỹ năng storytelling với data, trình bày kết quả phân tích cho non-technical stakeholders
 
 Kinh nghiệm với A/B Testing, Experimental Design và Statistical Significance assessment
 
 Bằng Thạc sĩ về Statistics, Mathematics, Computer Science, Economics hoặc lĩnh vực định lượng
 
 ƯU TIÊN / LỢI THẾ
 
 
 
 Kinh nghiệm trong Fintech/E-commerce/Digital Platform
 
 Hiểu biết về Product Analytics (Amplitude, Mixpanel) và Growth Metrics
 
 Kinh nghiệm với Causal Inference methods (Diff-in-Diff, RDD, Instrumental Variables)",JavaScript,Data & AI,5.0,None,"Data Analysis, Python, SQL, Data Visualization, Machine Learning"
Data Analyst,Data & AI,DATATYK,"Tầng 04, Tòa nhà số 5 Điện Biên Phủ, Phường Ba Đình, Ha Noi",0.5,,"Business Analysis, Data Analysis, Data Engineering, Data Visualization, Data Warehousing, GenAI / LLM, Machine Learning, SQL",Negotiable,https://topdev.vn/detail-jobs/data-analyst-datatyk-co-ltd-2096287,"Your role & responsibilities
 
 1. Data Analysis & Insights
 
 
 
 Collect, explore, and analyze data from multiple sources
 
 Perform basic data exploration and validation
 
 Support data quality checks and documentation
 
 Identify trends, patterns, and insights to support business decisions
 
 Ensure data accuracy, consistency, and quality
 
  
 
 
 
 2. Reporting & Dashboard Development
 
 
 
 Design, develop, and sustain interactive dashboards and reports.
 
 Use BI tools such as Power BI, Tableau, Amazon QuickSight
 
 Construct and maintain dashboards in collaboration with senior analysts.
 
 Assist in the updating, enhancement, and testing of reports.
 
 Optimize reporting for improved usability, performance, and business effectiveness.
 
  
 
 
 
 3. Client Engagement & Project support
 
 
 
 Work directly with clients to understand business needs and requirements
 
 Support requirement gathering sessions and note business needs
 
 Translate business questions into analytical and data requirements
 
 Proposing suitable analytics and AI-based solutions
 
 Presentations and reporting to clients
 
  
 
 
 
 4. Data Modelling & Preparation
 
 
 
 Build and maintain data models
 
 Transform raw data into structured, analysis-ready datasets
 
 Support ETL processes and data transformation workflows
 
  
 
 
 
 5. Collaboration & Communication
 
 
 
 Work closely with Data Analyst team, Data Engineers and Customer to deliver scalable solutions
 
 Present insights and findings clearly to business and technical stakeholders
 
 Contribute to internal knowledge sharing and best practices
 
 Follow project standards, best practices, and documentation guidelines
 
 2
 
 Your skills & qualifications
 
 1. Experience
 
 
 
 1–2 years of experience as a Data Analyst or similar role
 
 06 months –1 years of experience as a Data Analyst or similar role for Junior position
 
 Fresh graduates with strong internships or projects are welcome
 
 Experience in data services, consulting, or customer-facing roles is a plus
 
 Experience in Finance Analysis knowledge is a plus
 
 Experience in Supply chain analysis knowledge is a plus
 
  
 
 
 
 2. Technical Skills
 
 
 
 Hands-on experience with BI tools (Power BI, Tableau, QuickSight, etc.)
 
 Strong SQL skills (query writing, joins, performance optimization)
 
 Solid understanding of: Data modeling, Relational databases, Data warehousing concepts
 
 Experience with DAX or similar calculation languages
 
 Basic knowledge of ETL processes and data transformation
 
  
 
 
 
 3. AI & Data Awareness (Nice to Have)
 
 
 
 Basic understanding of AI/ML concepts or AI Chatbots (LLMs, prompting, use cases)
 
 Interest in applying AI to analytics and business problems",MLOps,Data & AI,0.0,None,"Data Analysis, Data Visualization, Business Analysis, SQL, Data Warehousing"
AI/NLP Engineer / Algorithm Engineer,Data & AI,CAZOODLE,"The Hallmark, 15 Tran Bach Dang, An Khanh Ward, An Khanh, Ho Chi Minh",1.0,English,"API, Big Data, GenAI / LLM, Machine Learning, NLP, Python, Transformer, Data Engineering, MLOps",Negotiable,https://topdev.vn/detail-jobs/ai-nlp-engineer-algorithm-engineer-junior-mid-senior-english-cazoodle-2099753?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Research and apply state-of-the-art AI/NLP techniques.
 
 Build models for LLMs, embeddings, retrieval, and information extraction.
 
 Collect, process, and analyze web-scale structured and unstructured data.
 
 Deploy and optimize AI models in real-world systems.
 
 2
 
 Your skills & qualifications
 
 From 1+ years of experience
 
 Strong communication skills in English.
 
 Ability to understand and reproduce academic research.
 
 Experience or strong understanding in:
 
 NLP (IE, embeddings, NER, etc.)
 
 LLMs (GPT/BERT/transformers), API usage, or fine-tuning
 
 Search engines and information retrieval
 
 Data mining and large-scale data processing
 
 Strong Python and ML framework experience (PyTorch/TensorFlow) is preferred.",Ruby,Data & AI,1.0,English,"NLP, GenAI / LLM, Transformer, API, Python, Machine Learning"
AI Engineer,Data & AI,MBBank,"Quận Thanh Xuân, Hà Nội",2.0,,"API, C/C++, Computer Vision, Deep Learning, Django, Docker, FastAPI, Flask, Git, gRPC, Kubernetes, Machine Learning, Microservices, MLOps, NLP, Python, System Design, Transformer, Unit Test",25.000.000 VND to 45.000.000 VND,https://topdev.vn/detail-jobs/senior-ai-engineer-computer-vision-nlp-llm-khoi-cong-nghe-thong-tin-2026td450878-mbbank-2098829?src=topdev_home&medium=superhotjobs,"Trách nhiệm công việc
 
 Phát triển, ứng dụng, tối ưu, tích hợp mô hình AI cho các bài toán ứng dụng trong hoạt động Kinh doanh/Ngân hàng về các lĩnh vực Computer Vision, NLP...
 
 Tham gia vào các công đoạn triển khai dịch vụ: Kiến trúc hệ thống, thiết kế mô hình hoạt động, luồng hoạt động, chức năng, tối ưu performance
 
 Coding, test metrics, service và unittest theo mô hình DevOps, MLOps
 
 Nghiên cứu, tìm hiểu các bài báo khoa học mới nhất về AI, ML, DL
 
 Với nhóm ứng viên là sinh viên tài năng và fresher: tham gia các chương trình đào tạo và dự án dành cho Trainee để phát triển lên các vị trí chính thức.
 
 mb-logo
 
 Kỹ năng & Chuyên môn
 
 Yêu cầu ứng viên có từ 2 năm kinh nghiệm ở các vị trí AI.
 
 Có kiến thức và kỹ năng về MỘT TRONG NHỮNG nội dung sau:
 
 Ngôn ngữ lập trình Python, C/C++
 
 Service/MicroService với một trong các framework FastAPI/Flask/Django
 
 Tensorflow/Pytorch/DGL/PyG/Onnx
 
 API (Restful/gRPC), Lập trình an toàn, đảm bảo & tối ưu hiệu năng
 
 Git và Git Flow, Docker/ Kubernete, Kubeflow/MLFlow, TritonServer/ Tensorflow Serving
 
 Các dạng bài toán Supervised learning, Reinforcement learning
 
 Xử lý Ảnh (Computer Vision)/Video/Âm thanh/Ngôn ngữ tự nhiên (NLP)
 
 CNN/RNN/Transformer/Attention, SVM/KNN/Clustering, GNN vv...
 
 Kỹ thuật Knowledge Distiller/ Model Prune, Model Quantization",Rust,Data & AI,2.0,None,"Python, C/C++, FastAPI, Flask, Django, API, gRPC, Git, Docker, Kubernetes, MLOps, Microservices, Computer Vision, NLP, Transformer, Unit Test"
AI Engineer,Data & AI,DATATYK,Hồ Chí Minh,0.0,,"GenAI / LLM, RAG, Python, SQL, Langchain",Negotiable,https://topdev.vn/detail-jobs/ai-engineer-datatyk-co-ltd-2096309?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 1. Prompt Design & Optimization
 
 
 
 Develop and manage prompts for AI chatbots and agents across internal support, customer service, and data Q&A.
 
 Optimize for accuracy, consistency, cost-efficiency, and safety.
 
 Continuously test and improve prompts based on user feedback.
 
  
 
 
 
 2. AI Use Case Implementation
 
 
 
 Convert business needs into prompt designs and conversation flows, including system/user prompts and guardrails.
 
 Support applications like data Q&A, knowledge assistants, automated insights, and customer support automation.
 
  
 
 
 
 3. Collaboration with Data & AI Teams
 
 
 
 Work with engineers and analysts to ensure model integration, data context, and business logic alignment.
 
 Validate AI outputs and integrate prompts with data platforms and RAG pipelines.
 
  
 
 
 
 4. Testing, Evaluation & Quality
 
 
 
 Set criteria for relevance, clarity, and risk.
 
 Test prompts in various scenarios and collaborate with quality teams for UAT and reliability.
 
  
 
 
 
 5. Documentation & Knowledge Sharing
 
 
 
 Document templates and best practices; maintain prompt libraries and versioning.
 
 Help develop internal generative AI standards.
 
 2
 
 Your skills & qualifications
 
 1. Education & Experience
 
 
 
 Education: Bachelor’s degree in Computer Science, Software Engineering, Linguistics, or a related field with a heavy emphasis on logic and data.
 
 Experience: 6 months to 2 years of experience. A strong portfolio showing advanced use of LLM APIs (OpenAI, Anthropic, etc.) is highly preferred.
 
 Fresh graduates with strong academic projects or internships are welcomed
 
  
 
 
 
 2. Technical skills
 
 
 
 Prompt Mastery: Expert-level understanding of how different LLMs (GPT, Claude, Llama) react to different instructions and formatting (Markdown, JSON, XML).
 
 Programming: Proficiency in Python (specifically for building AI wrappers and automating prompt testing).
 
 AI Frameworks: Hands-on experience with LangChain, LangGraph, or Microsoft Semantic Kernel.
 
 Data Skills: Basic SQL and an understanding of vector embeddings and semantic search.
 
 Hands-on experience with LLMs (e.g., OpenAI, Azure OpenAI, Hugging Face)
 
 Comprehensive understanding of: Prompt patterns (system, role, chain-of-thought, few-shot) and Context management and grounding
 
 Familiarity with Retrieval-Augmented Generation (RAG), Token limits and cost optimization strategies
 
 Basic ability to read or write Python or similar scripting languages
 
  
 
 
 
 3. Soft Skills
 
 
 
 Linguistic Precision: An obsession with word choice, syntax, and clarity to minimize ambiguity in model instructions.
 
 Analytical Thinking: A scientific approach to ""debugging"" prompts—identifying exactly why a model failed and how to pivot the instruction.
 
 Curiosity: A drive to stay updated with the latest research papers on prompting techniques (e.g., from ArXiv).
 
 Business & Communication Skills: Ability to understand business challenges and user intent, Clear written communication and documentation abilities and Skill in explaining AI behavior to non-technical stakeholders
 
 Logical thinking and problem-solving mindset
 
 Willingness to learn and adapt to new technologies
 
 Ability to work well in a team environment",Spring Boot,Data & AI,0.5,None,"Python, Langchain, RAG, SQL, GenAI / LLM"
Data Engineer,Data & AI,Mcredit - Công ty Tài chính TNHH MB Shinsei,Đà Nẵng,3.0,,"AWS, Business Analysis, Data Analysis, Data Engineering, Data Visualization, Data Warehousing, SQL",You'll love it,https://itviec.com/it-jobs/senior-data-engineer-banking-data-warehouse-aws-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-0421?lab_feature=preview_jd_page,"Job description
 
 Xây dựng giải pháp và lập trung các tầng xử lý trên hệ thống; DataWarehouse, Data Lake Data Model, BI, Downstream system, ....
 
 Tích hợp tất cả các nguồn dữ liệu từ các hệ thống ứng dụng vào Data Warehouse/Data Lake.
 
 Hỗ trợ các Đơn vị nghiệp vụ khi có nhu cầu khai thác dữ liệu từ hệ thống MIS/DW.
 
 Thực hiện phân tích các mô hình dữ liệu, dự đoán, dự báo, báo cáo phân tích,…
 
 Báo cáo định kỳ theo quy định hoặc theo yêu cầu của cấp quản lý trực tiếp.
 
 Tham gia các dự án về Data Warehouse/Data Lake theo sự phân công
 
 Your skills and experience
 
 Có từ 3 năm kinh nghiệm tại vị trí Data Engineer
 
 Thành thạo ngôn ngữ SQL
 
 Có kinh nghiệm làm báo cáo trên công cụ BI (như Tableau, Power BI, Oracle BI, cognos IBM, Jasper ...)
 
 Có khả năng lâp trình báo cáo trên nên tảng AWS, công cụ báo cáo AWS Quicksight.
 
 Có kinh nghiệm triển khai ít nhất một dự án Data warehouse hoặc báo cáo, hoặc ETL cho Ngân hàng/Công ty tài chính.
 
 Có kinh nghiệm phát triển ETL trên các nền tảng Oracle DI, IBM Data stage, Sap dataservices, Talend, Pentaho…..
 
 Có kinh nghiệm với các công cụ tích hợp/khai thác dữ liệu trên nên tảng AWS (DMS, AWS Glue, workflow,stepFunction, lambda, anthena)
 
 Có kiến thức về các nền tảng dữ liệu trên AWS (Amazon S3, AWS Foundation, Amazon Redshift, …)
 
 Có kiến thức về các công nghệ đồng bộ dữ liệu AWS DMS, CDC.v.v.
 
 Có kinh nghiệm làm việc với dữ liệu từ các nguồn ứng dụng tác nghiệp của Ngân hàng/công ty tài chính (Corebank,WAY4, ….)
 
 Có khả năng đọc và hiểu tài liệu yêu cầu hoặc thiết kế chi tiết, phối hợp nhóm, kỹ năng trình bày.
 
 Tốt nghiệp hệ chính quy các trường đại học trong nước hoặc nước ngoài chuyên ngành CNTT hoặc các ngành tương đương hoặc có các chứng chỉ tương đương được công nhận bởi các tổ chức uy tín;",System Design,Data & AI,3.0,None,"Data Engineering, Data Warehousing, Data Visualization, SQL, AWS"
AI Engineer (Machine Learning),Data & AI,VNEXT SOFTWARE,"Ladeco Building, 266 Doi Can Street, Ngoc Ha, Ha Noi",5.0,,"AWS, Azure, CI/CD, Computer Vision, Deep Learning, Docker, GCP, Kubernetes, Machine Learning, MLOps, Python, Software Architecture","1,000 - 2,000 USD",https://itviec.com/it-jobs/da-nang-senior-leader-ai-engineer-machine-learning-vnext-software-5427?lab_feature=preview_jd_page,"Job description
 
 Phát triển chiến lược AI, xác định các cơ hội AI và đề xuất các giải pháp sáng tạo;
 
 Dẫn dắt và quản lý đội ngũ kỹ sư và nhà nghiên cứu AI;
 
 Cung cấp hướng dẫn và hỗ trợ cho các thành viên phát triển kỹ thuật và chuyên môn của họ;
 
 Lập kế hoạch, thực hiện và giám sát các dự án AI từ khi khởi đầu đến khi hoàn thành, đảm bảo giao hàng đúng hạn và kết quả chất lượng cao;
 
 Theo dõi tiến độ dự án, xác định các trở ngại tiềm ẩn và thực hiện các biện pháp khắc phục khi cần thiết;
 
 Phối hợp với các đội ngũ liên quan để đảm bảo tích hợp liền mạch các giải pháp AI vào các sản phẩm và quy trình hiện có;
 
 Xác định và đo lường các chỉ số hiệu suất chính (KPIs) để đánh giá hiệu quả của các giải pháp AI;
 
 Liên tục đánh giá các mô hình và thuật toán AI, xác định các khu vực cần cải thiện và tối ưu hóa;
 
 Thực hiện các chiến lược để nâng cao hiệu suất và độ chính xác của mô hình AI.
 
 Your skills and experience
 
 Tốt nghiệp đại học trình độ Cử nhân trở lên chuyên ngành Khoa học Máy tính, Trí tuệ Nhân tạo, Toán – Tin học, Khoa học Dữ liệu hoặc các lĩnh vực liên quan;
 
 Tối thiểu 5 năm kinh nghiệm trong phát triển phần mềm và các dự án AI/ML, trong đó ít nhất 3 năm chuyên sâu về AI/ML
 
 Có từ 1 năm kinh nghiệm quản lý nhóm kỹ thuật từ 5 thành viên trở lên;
 
 Có kinh nghiệm thực tế trong việc dẫn dắt các dự án AI và triển khai mô hình AI/ML vào môi trường sản xuất thực tế;
 
 Kiến thức nền tảng vững chắc về Machine Learning, Deep Learning, Computer Vision;
 
 Thành thạo các ngôn ngữ lập trình như Python và R, có kinh nghiệm thực hành tốt với các framework AI/ML bao gồm PyTorch, TensorFlow, Scikit-learn và Hugging Face;
 
 Hiểu biết sâu về các thực hành và công cụ MLOps, bao gồm Docker, Kubernetes, MLflow, Airflow và các pipeline CI/CD cho hệ thống ML;
 
 Có kinh nghiệm làm việc với các nền tảng đám mây như AWS, GCP và Azure, bao gồm các dịch vụ AI như SageMaker, Vertex AI và Azure ML;
 
 Kiến thức chuyên sâu về nghiên cứu AI, các công nghệ AI hiện đại và xu hướng ngành hiện tại;
 
 Kỹ năng giải quyết vấn đề, tư duy phân tích, tư duy phản biện và ra quyết định kỹ thuật tốt.",.NET Ecosystem,Data & AI,5.0,None,"Machine Learning, Deep Learning, Computer Vision, Python, MLOps, Docker, Kubernetes, CI/CD, AWS, GCP, Azure"
AI Solutions Architect,Data & AI,KMS Technology,"Charmington La Pointe Officetel Apartments, 181 Cao Thang Street, Hoa Hung, Ho Chi Minh",8.0,,"API, GenAI / LLM, Langchain, JavaScript, Java, Golang, MLOps, Monitoring, Python, RAG, Software Architecture, System Design, TypeScript, .NET Ecosystem",You'll love it,https://itviec.com/it-jobs/ai-solutions-architect-transformation-lead-kms-technology-2321?lab_feature=preview_jd_page,"Job description
 
 AI-Native Engineering Practice - Technical Ownership:
 
 
 
 Own and continuously evolve KMS's AI-native SDLC operating model at KMS: agent workflow designs, verification gates, context management standards, and eval frameworks
 
 Build and lead multi-agent systems using orchestration layers such as Claude Code, GitHub Copilot Workspace, Cursor, LangGraph, CrewAI, or equivalent — from prototype to production
 
 In collaboration with the Director of Engineering, contribute to and help maintain KMS's AI toolchain selection criteria — evaluating tools with engineering rigor, not hype — and publishing internal guidance on when AI helps and when it hurts
 
 Establish prompt engineering standards, agent evaluation (evals) loops, and AI output quality gates across the delivery organization
 
 Capability & Standards Leadership
 
 
 
 Prior experience in a lead, principal, or staff engineer role with demonstrated cross-team influence 
 
 Experience in outsourcing, consulting, or multi-client delivery environments
 
 Track record of building or leading an internal community of practice, guild, or AI adoption program
 
 Develop and continuously evolve KMS's AI-native SDLC playbook — standards, workflow templates, case studies, and guardrails that delivery teams can adopt immediately
 
 Design and lead internal upskilling programs (workshops, pairing) that move engineers from AI-assisted to AI-native working patterns
 
 Track the AI capability frontier — model improvements, new agent frameworks, emerging risks — and translate signals into timely updates to KMS's practices
 
 Client Delivery
 
 
 
 Work closely alongside KMS Delivery Teams — as an AI transformation advisor and execution partner — identifying the highest-value automation opportunities across the SDLC and coordinating with the team to bring them to life
 
 Design and deploy agent-orchestrated workflows tailored to each client's stack, team maturity, and delivery context — with measurable ROI
 
 Build business cases for AI-native adoption with clients and account managers, framing the value in terms of velocity, quality, and cost
 
 Represent KMS's AI-native engineering capabilities in client conversations, QBRs, and RFP responses — acting as a credible technical authority
 
 Your skills and experience
 
 Core Engineering Foundation
 
 
 
 8+ years of professional software engineering, with a proven track record of leading technical initiatives that span multiple teams or systems 
 
 Deep hands-on experience across the full SDLC: from requirements and architecture through testing, deployment, and production operations 
 
 Demonstrated ability to lead technical direction — setting standards, reviewing architecture decisions, and influencing without direct authority
 
 Strong command of software architecture principles: system decomposition, API design, scalability, observability, and failure mode reasoning
 
 Proficiency in at least one primary language: Python, TypeScript/JavaScript, Java, .Net or Go — with experience across multiple layers of the stack
 
 AI & Agentic Systems Fluency
 
 
 
 Proven, production-grade experience with AI coding agents as a core part of your daily workflow 
 
 Strong understanding of LLM API integration in production: context window management, latency and cost tradeoffs, model selection criteria, fallback strategies, and output reliability patterns
 
 Experience or strong interest in multi-agent orchestration patterns: task decomposition, agent communication, tool use, memory, and eval loops
 
 Working knowledge of RAG architectures, embedding strategies, and how to ground AI agents in domain-specific, proprietary knowledge bases
 
 Ability to design and run AI evals: you can define quality metrics, build evaluation datasets, detect regressions, and use quantitative signals to improve agent behaviour over time
 
 Nice to have
 
 
 
 Experience with agentic frameworks: LangGraph, CrewAI, AutoGen, or similar orchestration patterns
 
 MLOps knowledge: model deployment, monitoring, drift detection, A/B testing in production
 
 Proficient daily use of AI coding tools (Copilot, Cursor, Claude Code) across the full SDLC
 
 Able to decompose complex tasks, provide effective context, and apply chain-of-thought and multi-step prompting workflows
 
 Experience with agentic workflows and AI-driven development frameworks
 
 Hands-on experience integrating AI tools with other systems via MCP (Model Context Protocol) or equivalent
 
 Awareness of emerging AI tools and willingness to evaluate and adopt new capabilities",,Data & AI,8.0,English,"API, GenAI / LLM, Langchain, MLOps, Monitoring, Python, RAG, Software Architecture, System Design, TypeScript"
